"track_id","track_name","artist_name","album_name","album_release_year","album_release_date_precision","album_type","album_release_date","track_number","explicit","type","disc_number","time_signature","tempo","duration_ms","key_name","mode_name","key_mode","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","Position","Year","Top_100"
"0mWi3EKhPDl42DL5LaHX38","Good Stuff","Kelis","Kaleidoscope",1999,"day","album","1999-01-01",2,FALSE,"track",1,4,97.977,232400,"C#","major","C# major",0.847,0.435,1,-6.732,1,0.0467,0.00127,0.000386,0.0332,0.692,NA,NA,"No"
"43F6S4Ajzx4D6jS0RlKCfr","16 Monkeys","Los Lonely Boys","Rockpango",2011,"day","album","2011-03-29",5,FALSE,"track",1,4,125.006,221493,"G#","major","G# major",0.685,0.813,8,-5.224,1,0.0309,0.0833,2.49e-06,0.0883,0.95,NA,NA,"No"
"1iZHvl8PBVLqWg8UTZ9qnc","I've Got the World On a String","The Duprees","Happy 100th Mr. Sinatra",2015,"day","album","2015-01-15",1,FALSE,"track",1,4,123.917,125426,"D","minor","D minor",0.685,0.341,2,-8.376,0,0.0653,0.648,0,0.115,0.429,NA,NA,"No"
"4urrQ4nl2QnpR0y7OAND5P","Hanging Up My Travelin' Shoes","Alabama","My Home's In Alabama",1980,"year","album","1980",2,FALSE,"track",1,4,115.036,135466,"D","major","D major",0.747,0.642,2,-8.441,1,0.0485,0.459,1.23e-05,0.13,0.895,NA,NA,"No"
"6mGcvgafq2YRbzmUtMgWeW","Lost In A Dream","Delbert McClinton","Wake Up Baby",2017,"day","album","2017-10-09",2,FALSE,"track",1,4,119.177,153880,"F#","major","F# major",0.704,0.42,6,-13.014,1,0.0438,0.942,1.63e-05,0.0646,0.738,NA,NA,"No"
"5yCb0nVA1bGqheg17WTv9J","Let's Turn Back Time","Stonewall Jackson","Here's To Hank",2011,"day","album","2011-07-28",11,FALSE,"track",1,3,102.185,141840,"C","major","C major",0.62,0.394,0,-10.535,1,0.0302,0.66,0.000117,0.193,0.531,NA,NA,"No"
"6SVTkCTDchgB31HwptSFFZ","Chastity's Song (Band Of Thieves) - Single Version","Cher","3614 Jackson Highway (Expanded)",1969,"day","album","1969-09-16",21,FALSE,"track",1,4,155.195,188893,"D","major","D major",0.471,0.46,2,-9.493,1,0.0413,0.331,0,0.0552,0.754,NA,NA,"No"
"2IK2s3l4kXi0BkCR8AWI1M","Wrong End Of The Rainbow","Anne Murray","Yes I Do",1991,"day","album","1991-01-01",9,FALSE,"track",1,4,84.528,195560,"A","major","A major",0.516,0.218,9,-11.541,1,0.0267,0.751,1.79e-06,0.112,0.254,NA,NA,"No"
"2dUISeIkEjgr05xYsYGsuK","The Gershwin Songbook: No. 4, Clap Yo' Hands","London Symphony Orchestra","Gershwin: Rhapsody in Blue, Piano Concerto in F Major & The Gershwin Songbook",2014,"day","album","2014-12-12",8,FALSE,"track",1,4,94.248,42680,"G#","major","G# major",0.573,0.151,8,-23.524,1,0.0343,0.991,0.835,0.153,0.456,NA,NA,"No"
"3W2Tp0wIjKLdsIg6WBF7eO","Pep Talk","Willie Mitchell","Driving Beat",2014,"day","album","2014-07-25",10,FALSE,"track",1,4,112.489,130160,"F","major","F major",0.959,0.82,5,-3.321,1,0.0605,0.727,0.928,0.102,0.978,NA,NA,"No"
